typhoon_id,year,cma_orig_frames,grid_frames,gpm_frames,exact_matches,nearest_matches,missing_frames,usable_windows,target_missing_windows,duration_h
0,2014,530,205021,0,0,0,205021,0,205010,102510.0
1401,2014,10,109,0,0,0,109,0,98,54.0
1402,2014,15,169,0,0,0,169,0,158,84.0
1403,2014,29,337,0,0,0,337,0,326,168.0
1404,2014,28,325,0,0,0,325,0,314,162.0
1405,2014,22,253,0,0,0,253,0,242,126.0
1406,2014,13,145,0,0,0,145,0,134,72.0
1407,2014,29,337,145,0,0,337,0,326,168.0
1408,2014,36,421,337,0,0,421,0,410,210.0
1409,2014,40,469,0,0,0,469,0,458,234.0
1410,2014,37,433,469,133,0,300,122,300,216.0
1411,2014,68,805,433,0,0,805,0,794,402.0
1412,2014,25,289,0,0,0,289,0,278,144.0
1413,2014,81,961,289,289,0,672,280,661,480.0
1414,2014,25,289,0,0,0,289,0,278,144.0
1415,2014,27,313,121,0,0,313,0,302,156.0
1416,2014,31,361,0,0,0,361,0,350,180.0
1417,2014,29,337,97,0,0,337,0,326,168.0
1418,2014,37,433,313,0,0,433,0,422,216.0
1419,2014,56,661,361,0,0,661,0,650,330.0
1420,2014,34,397,0,0,0,397,0,386,198.0
1421,2014,18,205,0,0,0,205,0,194,102.0
1422,2014,48,565,0,0,0,565,0,554,282.0
1423,2014,19,217,0,0,0,217,0,206,108.0
1501,2015,28,325,0,0,0,325,0,314,162.0
1502,2015,24,277,0,0,0,277,0,266,138.0
1503,2015,42,493,0,0,0,493,0,482,246.0
1504,2015,46,541,0,0,0,541,0,530,270.0
1505,2015,14,157,0,0,0,157,0,146,78.0
1506,2015,55,649,606,606,0,43,595,43,324.0
1507,2015,59,697,0,0,0,697,0,686,348.0
1508,2015,21,241,241,241,0,0,230,0,120.0
1509,2015,53,625,0,0,0,625,0,614,312.0
1510,2015,33,385,0,0,0,385,0,374,192.0
1511,2015,62,733,0,0,0,733,0,722,366.0
1512,2015,67,793,0,0,0,793,0,782,396.0
1513,2015,54,637,133,0,0,637,0,626,318.0
1514,2015,30,349,637,253,0,96,242,96,174.0
1515,2015,54,637,0,0,0,637,0,626,318.0
1516,2015,61,721,0,0,0,721,0,710,360.0
1517,2015,86,1021,0,0,0,1021,0,1010,510.0
1518,2015,23,265,0,0,0,265,0,254,132.0
1519,2015,9,97,0,0,0,97,0,86,48.0
1520,2015,49,577,0,0,0,577,0,566,288.0
1521,2015,36,421,0,0,0,421,0,410,210.0
1522,2015,18,205,421,0,0,205,0,194,102.0
1523,2015,38,445,205,145,0,300,134,300,222.0
1524,2015,37,433,445,0,0,433,0,422,216.0
1525,2015,52,613,433,385,0,228,374,228,306.0
1526,2015,38,445,0,0,0,445,0,434,222.0
1527,2015,27,313,0,0,0,313,0,302,156.0
1601,2016,31,361,97,0,0,361,0,350,180.0
1602,2016,15,169,361,0,0,169,0,158,84.0
1603,2016,12,133,0,0,0,133,0,122,66.0
1604,2016,19,217,0,0,0,217,0,206,108.0
1605,2016,31,361,133,0,0,361,0,350,180.0
1606,2016,33,385,217,0,0,385,0,374,192.0
1607,2016,24,277,0,0,0,277,0,266,138.0
1608,2016,20,229,0,0,0,229,0,218,114.0
1609,2016,25,289,0,0,0,289,0,278,144.0
1610,2016,53,625,229,109,0,516,98,516,312.0
1611,2016,13,145,0,0,0,145,0,134,72.0
1612,2016,21,241,0,0,0,241,0,230,120.0
1613,2016,9,97,0,0,0,97,0,86,48.0
1614,2016,34,397,0,0,0,397,0,386,198.0
1615,2016,12,133,97,0,0,133,0,122,66.0
1616,2016,36,421,397,265,0,156,254,156,210.0
1617,2016,29,337,0,0,0,337,0,326,168.0
1618,2016,46,541,421,0,0,541,0,530,270.0
1619,2016,41,481,0,0,0,481,0,470,240.0
1620,2016,27,313,0,0,0,313,0,302,156.0
1621,2016,31,361,0,0,0,361,0,350,180.0
1622,2016,34,397,298,0,0,397,0,386,198.0
1623,2016,31,361,361,0,0,361,0,350,180.0
1624,2016,16,181,397,0,0,181,0,170,90.0
1625,2016,17,193,0,0,0,193,0,182,96.0
1626,2016,34,397,0,0,0,397,0,386,198.0
1701,2017,27,313,0,0,0,313,0,302,156.0
1702,2017,21,181,0,0,0,181,0,170,90.0
1703,2017,21,241,181,0,0,241,0,230,120.0
1704,2017,15,169,241,0,0,169,0,158,84.0
1705,2017,82,973,169,0,0,973,0,962,486.0
1706,2017,33,385,0,0,0,385,0,374,192.0
1707,2017,14,109,270,54,0,55,45,44,54.0
1708,2017,34,397,109,109,0,288,100,277,198.0
