canonical_name,experiment_id,alias_ids,seed,checkpoint_sha256,source_dir,target_dir,duplicate_sources,files_present
B1_trajgru_seed42,B1_trajgru,,42,a6868b9987638a6ce87d138eadbec5eb8af718b58ab31ce0a587e31923dd14ec,_local_artifacts\20260819_validation\outputs\backbone_gate\B1_trajgru,results\B1_trajgru_seed42,,manifest.json;manifest_hashes.json;metrics_v2.csv;result_v2.json;validation.md
I0_persistence_seed42,E0_persistence,I0,42,,_local_artifacts\20260819_validation\outputs\backbone_gate\I0_persistence,results\I0_persistence_seed42,,manifest.json;manifest_hashes.json;metrics_v2.csv;result_v2.json;validation.md
I1_plain_convlstm_seed42,E1_plain_convlstm,I1,42,5da423623f8e0ef43dbe8ec4c18efb2d5d9725c52cac46c48693a7b1320afab7,_local_artifacts\20260819_validation\outputs\backbone_gate\I1_plain_convlstm,results\I1_plain_convlstm_seed42,,manifest.json;manifest_hashes.json;metrics_v2.csv;result_v2.json;validation.md
I2_resconvlstm_seed42_v2,E2_resconvlstm,I2,42,3263e135ba8312da7fd4451c261936cb4189c56a2b496d57ac62c1e968d51934,_local_artifacts\20260819_validation\outputs\backbone_gate\I2_resconvlstm,results\I2_resconvlstm_seed42_v2,_local_artifacts\20260819_validation\outputs\axis_i\I2_resconvlstm,manifest.json;manifest_hashes.json;metrics_v2.csv;result_v2.json;validation.md
I3_resconvlstm_cma_seed42,E3_resconvlstm_cma,I3,42,c03e77bb5138c8cc35a200a8135873c06a6cef434f276ac0a2477868e1c494be,_local_artifacts\20260819_validation\outputs\axis_i\I3_resconvlstm_cma,results\I3_resconvlstm_cma_seed42,,manifest.json;manifest_hashes.json;metrics_v2.csv;result_v2.json;validation.md
I4_static_terrain_seed42,E4_static_terrain,I4,42,0531fc31072b239541be546e77715773949f0cb7652edea4ea539f1ce49df9cd,_local_artifacts\20260819_validation\outputs\axis_i\I4_static_terrain,results\I4_static_terrain_seed42,,manifest.json;manifest_hashes.json;metrics_v2.csv;result_v2.json;validation.md
I5_terrain_geometry_seed42,E5_terrain_geometry,I5|P0,42,95013e4dc5a529de08b96bcc824985cfd955cc3c35c3b8f8f104ee2759afa7f9,_local_artifacts\20260819_validation\outputs\axis_i\I5_terrain_geometry,results\I5_terrain_geometry_seed42,,manifest.json;manifest_hashes.json;metrics_v2.csv;result_v2.json;validation.md
P1_smooth_seed42,P1_resconvlstm_smooth,P1,42,45c2fb8157f8c5531d6ed69c6197e9dc1a75ac3e1b45e21c9fe9356dfd43610e,_local_artifacts\20260819_validation\outputs\axis_ii_c1\P1_resconvlstm_smooth,results\P1_smooth_seed42,,manifest.json;manifest_hashes.json;metrics_v2.csv;result_v2.json;validation.md
P2_extreme_seed42,E6_terrain_extreme,P2,42,d277444b03f34aac366108008a0e181f4b1c5d4a7dc3f76af1877d998207982f,_local_artifacts\20260819_validation\outputs\axis_ii_c1\P2_terrain_extreme,results\P2_extreme_seed42,,manifest.json;manifest_hashes.json;metrics_v2.csv;result_v2.json;validation.md
P3_smooth_extreme_seed42,P3_resconvlstm_smooth_extreme,P3,42,6d7de4f549d2b18dac597e34e443ceb1f76c340fddc2f2ea31ed0ea0c0c41bbd,_local_artifacts\20260819_validation\outputs\axis_ii_c1\P3_resconvlstm_smooth_extreme,results\P3_smooth_extreme_seed42,,manifest.json;manifest_hashes.json;metrics_v2.csv;result_v2.json;validation.md
