model,level,metric,value
TrajGRU,overall_global,MAE_global,0.377054
TrajGRU,overall_global,RMSE_global,1.546354
TrajGRU,overall_global,categorical.10mmh.ACC,0.994789
TrajGRU,overall_global,categorical.10mmh.BIAS,0.570930
TrajGRU,overall_global,categorical.10mmh.CSI,0.342272
TrajGRU,overall_global,categorical.10mmh.FAR,0.298376
TrajGRU,overall_global,categorical.10mmh.HSS,0.507565
TrajGRU,overall_global,categorical.10mmh.POD,0.400578
TrajGRU,overall_global,categorical.10mmh.a_hits,56252
TrajGRU,overall_global,categorical.10mmh.b_false_alarms,23922
TrajGRU,overall_global,categorical.10mmh.c_misses,84175
TrajGRU,overall_global,categorical.10mmh.d_correct_negatives,20577795
TrajGRU,overall_global,categorical.10mmh.n_total,20742144
TrajGRU,overall_global,categorical.20mmh.ACC,0.998157
TrajGRU,overall_global,categorical.20mmh.BIAS,0.581141
TrajGRU,overall_global,categorical.20mmh.CSI,0.271289
TrajGRU,overall_global,categorical.20mmh.FAR,0.419400
TrajGRU,overall_global,categorical.20mmh.HSS,0.425936
TrajGRU,overall_global,categorical.20mmh.POD,0.337411
TrajGRU,overall_global,categorical.20mmh.a_hits,14234
TrajGRU,overall_global,categorical.20mmh.b_false_alarms,10282
TrajGRU,overall_global,categorical.20mmh.c_misses,27952
TrajGRU,overall_global,categorical.20mmh.d_correct_negatives,20689676
TrajGRU,overall_global,categorical.20mmh.n_total,20742144
TrajGRU,overall_global,categorical.30mmh.ACC,0.999116
TrajGRU,overall_global,categorical.30mmh.BIAS,0.390189
TrajGRU,overall_global,categorical.30mmh.CSI,0.181148
TrajGRU,overall_global,categorical.30mmh.FAR,0.453578
TrajGRU,overall_global,categorical.30mmh.HSS,0.306375
TrajGRU,overall_global,categorical.30mmh.POD,0.213208
TrajGRU,overall_global,categorical.30mmh.a_hits,4055
TrajGRU,overall_global,categorical.30mmh.b_false_alarms,3366
TrajGRU,overall_global,categorical.30mmh.c_misses,14964
TrajGRU,overall_global,categorical.30mmh.d_correct_negatives,20719759
TrajGRU,overall_global,categorical.30mmh.n_total,20742144
TrajGRU,overall_global,categorical.5mmh.ACC,0.985165
TrajGRU,overall_global,categorical.5mmh.BIAS,0.448579
TrajGRU,overall_global,categorical.5mmh.CSI,0.337216
TrajGRU,overall_global,categorical.5mmh.FAR,0.185652
TrajGRU,overall_global,categorical.5mmh.HSS,0.497931
TrajGRU,overall_global,categorical.5mmh.POD,0.365299
TrajGRU,overall_global,categorical.5mmh.a_hits,156556
TrajGRU,overall_global,categorical.5mmh.b_false_alarms,35691
TrajGRU,overall_global,categorical.5mmh.c_misses,272013
TrajGRU,overall_global,categorical.5mmh.d_correct_negatives,20277884
TrajGRU,overall_global,categorical.5mmh.n_total,20742144
TrajGRU,overall_global,peak_error_global,38.072262
TrajGRU,overall_window_mean,MAE_window_mean,0.377054
TrajGRU,overall_window_mean,RMSE_window_mean,1.134949
TrajGRU,overall_window_mean,SSIM_window_mean,0.900401
TrajGRU,overall_window_mean,n_defined_windows,1266
TrajGRU,overall_window_mean,peak_error_window_mean,10.814739
TrajGRU,overall_event_macro,ACC_10mmh_event_macro,0.997205
TrajGRU,overall_event_macro,ACC_20mmh_event_macro,0.999066
TrajGRU,overall_event_macro,ACC_30mmh_event_macro,0.999576
TrajGRU,overall_event_macro,ACC_5mmh_event_macro,0.991842
TrajGRU,overall_event_macro,BIAS_10mmh_event_macro,0.358939
TrajGRU,overall_event_macro,BIAS_20mmh_event_macro,0.342253
TrajGRU,overall_event_macro,BIAS_30mmh_event_macro,0.223684
TrajGRU,overall_event_macro,BIAS_5mmh_event_macro,1.867687
TrajGRU,overall_event_macro,CSI_10mmh_event_macro,0.239301
TrajGRU,overall_event_macro,CSI_20mmh_event_macro,0.175651
TrajGRU,overall_event_macro,CSI_30mmh_event_macro,0.107798
TrajGRU,overall_event_macro,CSI_5mmh_event_macro,0.150198
TrajGRU,overall_event_macro,FAR_10mmh_event_macro,0.250858
TrajGRU,overall_event_macro,FAR_20mmh_event_macro,0.356795
TrajGRU,overall_event_macro,FAR_30mmh_event_macro,0.441818
TrajGRU,overall_event_macro,FAR_5mmh_event_macro,0.638197
TrajGRU,overall_event_macro,HSS_10mmh_event_macro,0.358125
TrajGRU,overall_event_macro,HSS_20mmh_event_macro,0.286740
TrajGRU,overall_event_macro,HSS_30mmh_event_macro,0.184781
TrajGRU,overall_event_macro,HSS_5mmh_event_macro,0.216176
TrajGRU,overall_event_macro,MAE_event,0.233201
TrajGRU,overall_event_macro,POD_10mmh_event_macro,0.268317
