model,level,metric,value
Persistence,overall_global,MAE_global,0.249059
Persistence,overall_global,RMSE_global,1.441949
Persistence,overall_global,categorical.10mmh.ACC,0.994224
Persistence,overall_global,categorical.10mmh.BIAS,0.996432
Persistence,overall_global,categorical.10mmh.CSI,0.401240
Persistence,overall_global,categorical.10mmh.FAR,0.426282
Persistence,overall_global,categorical.10mmh.HSS,0.569785
Persistence,overall_global,categorical.10mmh.POD,0.571671
Persistence,overall_global,categorical.10mmh.a_hits,80278
Persistence,overall_global,categorical.10mmh.b_false_alarms,59648
Persistence,overall_global,categorical.10mmh.c_misses,60149
Persistence,overall_global,categorical.10mmh.d_correct_negatives,20542069
Persistence,overall_global,categorical.10mmh.n_total,20742144
Persistence,overall_global,categorical.20mmh.ACC,0.997929
Persistence,overall_global,categorical.20mmh.BIAS,0.985493
Persistence,overall_global,categorical.20mmh.CSI,0.322032
Persistence,overall_global,categorical.20mmh.FAR,0.509237
Persistence,overall_global,categorical.20mmh.HSS,0.486140
Persistence,overall_global,categorical.20mmh.POD,0.483644
Persistence,overall_global,categorical.20mmh.a_hits,20403
Persistence,overall_global,categorical.20mmh.b_false_alarms,21171
Persistence,overall_global,categorical.20mmh.c_misses,21783
Persistence,overall_global,categorical.20mmh.d_correct_negatives,20678787
Persistence,overall_global,categorical.20mmh.n_total,20742144
Persistence,overall_global,categorical.30mmh.ACC,0.998960
Persistence,overall_global,categorical.30mmh.BIAS,0.979126
Persistence,overall_global,categorical.30mmh.CSI,0.271355
Persistence,overall_global,categorical.30mmh.FAR,0.568575
Persistence,overall_global,categorical.30mmh.HSS,0.426355
Persistence,overall_global,categorical.30mmh.POD,0.422420
Persistence,overall_global,categorical.30mmh.a_hits,8034
Persistence,overall_global,categorical.30mmh.b_false_alarms,10588
Persistence,overall_global,categorical.30mmh.c_misses,10985
Persistence,overall_global,categorical.30mmh.d_correct_negatives,20712537
Persistence,overall_global,categorical.30mmh.n_total,20742144
Persistence,overall_global,categorical.5mmh.ACC,0.985933
Persistence,overall_global,categorical.5mmh.BIAS,0.997485
Persistence,overall_global,categorical.5mmh.CSI,0.491596
Persistence,overall_global,categorical.5mmh.FAR,0.340014
Persistence,overall_global,categorical.5mmh.HSS,0.651973
Persistence,overall_global,categorical.5mmh.POD,0.658326
Persistence,overall_global,categorical.5mmh.a_hits,282138
Persistence,overall_global,categorical.5mmh.b_false_alarms,145353
Persistence,overall_global,categorical.5mmh.c_misses,146431
Persistence,overall_global,categorical.5mmh.d_correct_negatives,20168222
Persistence,overall_global,categorical.5mmh.n_total,20742144
Persistence,overall_global,peak_error_global,0.021309
Persistence,overall_window_mean,MAE_window_mean,0.249059
Persistence,overall_window_mean,RMSE_window_mean,0.791295
Persistence,overall_window_mean,SSIM_window_mean,0.960450
Persistence,overall_window_mean,n_defined_windows,1266
Persistence,overall_window_mean,peak_error_window_mean,3.955544
Persistence,overall_event_macro,ACC_10mmh_event_macro,0.996878
Persistence,overall_event_macro,ACC_20mmh_event_macro,0.998941
Persistence,overall_event_macro,ACC_30mmh_event_macro,0.999495
Persistence,overall_event_macro,ACC_5mmh_event_macro,0.992278
Persistence,overall_event_macro,BIAS_10mmh_event_macro,1.113009
Persistence,overall_event_macro,BIAS_20mmh_event_macro,0.983377
Persistence,overall_event_macro,BIAS_30mmh_event_macro,1.022677
Persistence,overall_event_macro,BIAS_5mmh_event_macro,0.983702
Persistence,overall_event_macro,CSI_10mmh_event_macro,0.300384
Persistence,overall_event_macro,CSI_20mmh_event_macro,0.292499
Persistence,overall_event_macro,CSI_30mmh_event_macro,0.165332
Persistence,overall_event_macro,CSI_5mmh_event_macro,0.398657
Persistence,overall_event_macro,FAR_10mmh_event_macro,0.570406
Persistence,overall_event_macro,FAR_20mmh_event_macro,0.544476
Persistence,overall_event_macro,FAR_30mmh_event_macro,0.731354
Persistence,overall_event_macro,FAR_5mmh_event_macro,0.459932
Persistence,overall_event_macro,HSS_10mmh_event_macro,0.422686
Persistence,overall_event_macro,HSS_20mmh_event_macro,0.450270
Persistence,overall_event_macro,HSS_30mmh_event_macro,0.267571
Persistence,overall_event_macro,HSS_5mmh_event_macro,0.523533
Persistence,overall_event_macro,MAE_event,0.138043
Persistence,overall_event_macro,POD_10mmh_event_macro,0.421506
Persistence,overall_event_macro,POD_20mmh_event_macro,0.447603
Persistence,overall_event_macro,POD_30mmh_event_macro,0.267762
Persistence,overall_event_macro,POD_5mmh_event_macro,0.521928
Persistence,overall_event_macro,RMSE_event,0.576300
Persistence,overall_event_macro,SSIM_event_mean,0.977513
Persistence,overall_event_macro,n_events,7
Persistence,per_event,2203.MAE_event,0.626881
Persistence,per_event,2203.RMSE_event,2.430651
Persistence,per_event,2203.SSIM_event_mean,0.904937
Persistence,per_event,2203.categorical.10mmh.ACC,0.984627
Persistence,per_event,2203.categorical.10mmh.BIAS,0.996675
Persistence,per_event,2203.categorical.10mmh.CSI,0.415240
Persistence,per_event,2203.categorical.10mmh.FAR,0.412209
Persistence,per_event,2203.categorical.10mmh.HSS,0.578979
Persistence,per_event,2203.categorical.10mmh.POD,0.585836
Persistence,per_event,2203.categorical.10mmh.a_hits,70827
Persistence,per_event,2203.categorical.10mmh.b_false_alarms,49670
Persistence,per_event,2203.categorical.10mmh.c_misses,50072
Persistence,per_event,2203.categorical.10mmh.d_correct_negatives,6317495
Persistence,per_event,2203.categorical.10mmh.n_total,6488064
Persistence,per_event,2203.categorical.20mmh.ACC,0.994072
Persistence,per_event,2203.categorical.20mmh.BIAS,0.984637
Persistence,per_event,2203.categorical.20mmh.CSI,0.329264
Persistence,per_event,2203.categorical.20mmh.FAR,0.500727
Persistence,per_event,2203.categorical.20mmh.HSS,0.492427
Persistence,per_event,2203.categorical.20mmh.POD,0.491602
Persistence,per_event,2203.categorical.20mmh.a_hits,18879
Persistence,per_event,2203.categorical.20mmh.b_false_alarms,18934
Persistence,per_event,2203.categorical.20mmh.c_misses,19524
Persistence,per_event,2203.categorical.20mmh.d_correct_negatives,6430727
Persistence,per_event,2203.categorical.20mmh.n_total,6488064
Persistence,per_event,2203.categorical.30mmh.ACC,0.996901
Persistence,per_event,2203.categorical.30mmh.BIAS,0.976918
Persistence,per_event,2203.categorical.30mmh.CSI,0.276340
Persistence,per_event,2203.categorical.30mmh.FAR,0.561865
Persistence,per_event,2203.categorical.30mmh.HSS,0.431466
Persistence,per_event,2203.categorical.30mmh.POD,0.428022
Persistence,per_event,2203.categorical.30mmh.a_hits,7677
Persistence,per_event,2203.categorical.30mmh.b_false_alarms,9845
Persistence,per_event,2203.categorical.30mmh.c_misses,10259
Persistence,per_event,2203.categorical.30mmh.d_correct_negatives,6460283
Persistence,per_event,2203.categorical.30mmh.n_total,6488064
Persistence,per_event,2203.categorical.5mmh.ACC,0.964421
Persistence,per_event,2203.categorical.5mmh.BIAS,1.000320
Persistence,per_event,2203.categorical.5mmh.CSI,0.504128
Persistence,per_event,2203.categorical.5mmh.FAR,0.329782
Persistence,per_event,2203.categorical.5mmh.HSS,0.651522
Persistence,per_event,2203.categorical.5mmh.POD,0.670433
Persistence,per_event,2203.categorical.5mmh.a_hits,234681
Persistence,per_event,2203.categorical.5mmh.b_false_alarms,115475
Persistence,per_event,2203.categorical.5mmh.c_misses,115363
Persistence,per_event,2203.categorical.5mmh.d_correct_negatives,6022545
Persistence,per_event,2203.categorical.5mmh.n_total,6488064
Persistence,per_event,2203.n_windows,396
Persistence,per_event,2203.peak_error_event,0.987770
Persistence,per_event,2205.MAE_event,0.290632
Persistence,per_event,2205.RMSE_event,1.132405
Persistence,per_event,2205.SSIM_event_mean,0.945751
Persistence,per_event,2205.categorical.10mmh.ACC,0.994854
Persistence,per_event,2205.categorical.10mmh.BIAS,1.001609
Persistence,per_event,2205.categorical.10mmh.CSI,0.296845
Persistence,per_event,2205.categorical.10mmh.FAR,0.542572
Persistence,per_event,2205.categorical.10mmh.HSS,0.455211
Persistence,per_event,2205.categorical.10mmh.POD,0.458164
Persistence,per_event,2205.categorical.10mmh.a_hits,7688
Persistence,per_event,2205.categorical.10mmh.b_false_alarms,9119
Persistence,per_event,2205.categorical.10mmh.c_misses,9092
Persistence,per_event,2205.categorical.10mmh.d_correct_negatives,3513045
Persistence,per_event,2205.categorical.10mmh.n_total,3538944
Persistence,per_event,2205.categorical.20mmh.ACC,0.998868
Persistence,per_event,2205.categorical.20mmh.BIAS,0.997892
Persistence,per_event,2205.categorical.20mmh.CSI,0.246805
Persistence,per_event,2205.categorical.20mmh.FAR,0.603682
Persistence,per_event,2205.categorical.20mmh.HSS,0.395333
Persistence,per_event,2205.categorical.20mmh.POD,0.395482
Persistence,per_event,2205.categorical.20mmh.a_hits,1313
Persistence,per_event,2205.categorical.20mmh.b_false_alarms,2000
Persistence,per_event,2205.categorical.20mmh.c_misses,2007
Persistence,per_event,2205.categorical.20mmh.d_correct_negatives,3533624
Persistence,per_event,2205.categorical.20mmh.n_total,3538944
Persistence,per_event,2205.categorical.30mmh.ACC,0.999600
Persistence,per_event,2205.categorical.30mmh.BIAS,1.014191
Persistence,per_event,2205.categorical.30mmh.CSI,0.200790
Persistence,per_event,2205.categorical.30mmh.FAR,0.667910
Persistence,per_event,2205.categorical.30mmh.HSS,0.334229
Persistence,per_event,2205.categorical.30mmh.POD,0.336802
Persistence,per_event,2205.categorical.30mmh.a_hits,356
Persistence,per_event,2205.categorical.30mmh.b_false_alarms,716
Persistence,per_event,2205.categorical.30mmh.c_misses,701
Persistence,per_event,2205.categorical.30mmh.d_correct_negatives,3537171
Persistence,per_event,2205.categorical.30mmh.n_total,3538944
Persistence,per_event,2205.categorical.5mmh.ACC,0.983590
Persistence,per_event,2205.categorical.5mmh.BIAS,0.991076
Persistence,per_event,2205.categorical.5mmh.CSI,0.424969
Persistence,per_event,2205.categorical.5mmh.FAR,0.400854
Persistence,per_event,2205.categorical.5mmh.HSS,0.588085
Persistence,per_event,2205.categorical.5mmh.POD,0.593799
Persistence,per_event,2205.categorical.5mmh.a_hits,42918
Persistence,per_event,2205.categorical.5mmh.b_false_alarms,28714
Persistence,per_event,2205.categorical.5mmh.c_misses,29359
Persistence,per_event,2205.categorical.5mmh.d_correct_negatives,3437953
Persistence,per_event,2205.categorical.5mmh.n_total,3538944
Persistence,per_event,2205.n_windows,216
Persistence,per_event,2205.peak_error_event,2.346291
Persistence,per_event,2208.MAE_event,0.000000
Persistence,per_event,2208.RMSE_event,0.000000
Persistence,per_event,2208.SSIM_event_mean,1.000000
Persistence,per_event,2208.categorical.10mmh.ACC,1.000000
Persistence,per_event,2208.categorical.10mmh.BIAS,nan
Persistence,per_event,2208.categorical.10mmh.CSI,nan
Persistence,per_event,2208.categorical.10mmh.FAR,nan
Persistence,per_event,2208.categorical.10mmh.HSS,nan
Persistence,per_event,2208.categorical.10mmh.POD,nan
Persistence,per_event,2208.categorical.10mmh.a_hits,0
Persistence,per_event,2208.categorical.10mmh.b_false_alarms,0
Persistence,per_event,2208.categorical.10mmh.c_misses,0
Persistence,per_event,2208.categorical.10mmh.d_correct_negatives,786432
Persistence,per_event,2208.categorical.10mmh.n_total,786432
Persistence,per_event,2208.categorical.20mmh.ACC,1.000000
Persistence,per_event,2208.categorical.20mmh.BIAS,nan
Persistence,per_event,2208.categorical.20mmh.CSI,nan
Persistence,per_event,2208.categorical.20mmh.FAR,nan
Persistence,per_event,2208.categorical.20mmh.HSS,nan
Persistence,per_event,2208.categorical.20mmh.POD,nan
Persistence,per_event,2208.categorical.20mmh.a_hits,0
Persistence,per_event,2208.categorical.20mmh.b_false_alarms,0
Persistence,per_event,2208.categorical.20mmh.c_misses,0
Persistence,per_event,2208.categorical.20mmh.d_correct_negatives,786432
Persistence,per_event,2208.categorical.20mmh.n_total,786432
Persistence,per_event,2208.categorical.30mmh.ACC,1.000000
Persistence,per_event,2208.categorical.30mmh.BIAS,nan
Persistence,per_event,2208.categorical.30mmh.CSI,nan
Persistence,per_event,2208.categorical.30mmh.FAR,nan
Persistence,per_event,2208.categorical.30mmh.HSS,nan
Persistence,per_event,2208.categorical.30mmh.POD,nan
Persistence,per_event,2208.categorical.30mmh.a_hits,0
Persistence,per_event,2208.categorical.30mmh.b_false_alarms,0
