model,level,metric,value
PlainConvLSTM,overall_global,MAE_global,0.430058
PlainConvLSTM,overall_global,RMSE_global,2.130754
PlainConvLSTM,overall_global,categorical.10mmh.ACC,0.993230
PlainConvLSTM,overall_global,categorical.10mmh.BIAS,0.000000
PlainConvLSTM,overall_global,categorical.10mmh.CSI,0.000000
PlainConvLSTM,overall_global,categorical.10mmh.FAR,nan
PlainConvLSTM,overall_global,categorical.10mmh.HSS,0.000000
PlainConvLSTM,overall_global,categorical.10mmh.POD,0.000000
PlainConvLSTM,overall_global,categorical.10mmh.a_hits,0
PlainConvLSTM,overall_global,categorical.10mmh.b_false_alarms,0
PlainConvLSTM,overall_global,categorical.10mmh.c_misses,140427
PlainConvLSTM,overall_global,categorical.10mmh.d_correct_negatives,20601717
PlainConvLSTM,overall_global,categorical.10mmh.n_total,20742144
PlainConvLSTM,overall_global,categorical.20mmh.ACC,0.997966
PlainConvLSTM,overall_global,categorical.20mmh.BIAS,0.000000
PlainConvLSTM,overall_global,categorical.20mmh.CSI,0.000000
PlainConvLSTM,overall_global,categorical.20mmh.FAR,nan
PlainConvLSTM,overall_global,categorical.20mmh.HSS,0.000000
PlainConvLSTM,overall_global,categorical.20mmh.POD,0.000000
PlainConvLSTM,overall_global,categorical.20mmh.a_hits,0
PlainConvLSTM,overall_global,categorical.20mmh.b_false_alarms,0
PlainConvLSTM,overall_global,categorical.20mmh.c_misses,42186
PlainConvLSTM,overall_global,categorical.20mmh.d_correct_negatives,20699958
PlainConvLSTM,overall_global,categorical.20mmh.n_total,20742144
PlainConvLSTM,overall_global,categorical.30mmh.ACC,0.999083
PlainConvLSTM,overall_global,categorical.30mmh.BIAS,0.000000
PlainConvLSTM,overall_global,categorical.30mmh.CSI,0.000000
PlainConvLSTM,overall_global,categorical.30mmh.FAR,nan
PlainConvLSTM,overall_global,categorical.30mmh.HSS,0.000000
PlainConvLSTM,overall_global,categorical.30mmh.POD,0.000000
PlainConvLSTM,overall_global,categorical.30mmh.a_hits,0
PlainConvLSTM,overall_global,categorical.30mmh.b_false_alarms,0
PlainConvLSTM,overall_global,categorical.30mmh.c_misses,19019
