model,level,metric,value
ResConvLSTM,overall_global,MAE_global,0.237219
ResConvLSTM,overall_global,RMSE_global,1.264393
ResConvLSTM,overall_global,categorical.10mmh.ACC,0.994758
ResConvLSTM,overall_global,categorical.10mmh.BIAS,0.884865
ResConvLSTM,overall_global,categorical.10mmh.CSI,0.417616
ResConvLSTM,overall_global,categorical.10mmh.FAR,0.372488
ResConvLSTM,overall_global,categorical.10mmh.HSS,0.586553
ResConvLSTM,overall_global,categorical.10mmh.POD,0.555264
ResConvLSTM,overall_global,categorical.10mmh.a_hits,77974
ResConvLSTM,overall_global,categorical.10mmh.b_false_alarms,46285
ResConvLSTM,overall_global,categorical.10mmh.c_misses,62453
ResConvLSTM,overall_global,categorical.10mmh.d_correct_negatives,20555432
ResConvLSTM,overall_global,categorical.10mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.20mmh.ACC,0.998141
ResConvLSTM,overall_global,categorical.20mmh.BIAS,0.662068
ResConvLSTM,overall_global,categorical.20mmh.CSI,0.290320
ResConvLSTM,overall_global,categorical.20mmh.FAR,0.435159
ResConvLSTM,overall_global,categorical.20mmh.HSS,0.449105
ResConvLSTM,overall_global,categorical.20mmh.POD,0.373963
ResConvLSTM,overall_global,categorical.20mmh.a_hits,15776
ResConvLSTM,overall_global,categorical.20mmh.b_false_alarms,12154
ResConvLSTM,overall_global,categorical.20mmh.c_misses,26410
ResConvLSTM,overall_global,categorical.20mmh.d_correct_negatives,20687804
ResConvLSTM,overall_global,categorical.20mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.30mmh.ACC,0.999113
ResConvLSTM,overall_global,categorical.30mmh.BIAS,0.390715
ResConvLSTM,overall_global,categorical.30mmh.CSI,0.179382
ResConvLSTM,overall_global,categorical.30mmh.FAR,0.458619
ResConvLSTM,overall_global,categorical.30mmh.HSS,0.303838
ResConvLSTM,overall_global,categorical.30mmh.POD,0.211525
ResConvLSTM,overall_global,categorical.30mmh.a_hits,4023
ResConvLSTM,overall_global,categorical.30mmh.b_false_alarms,3408
ResConvLSTM,overall_global,categorical.30mmh.c_misses,14996
ResConvLSTM,overall_global,categorical.30mmh.d_correct_negatives,20719717
ResConvLSTM,overall_global,categorical.30mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.5mmh.ACC,0.986997
ResConvLSTM,overall_global,categorical.5mmh.BIAS,0.974856
ResConvLSTM,overall_global,categorical.5mmh.CSI,0.516691
ResConvLSTM,overall_global,categorical.5mmh.FAR,0.309874
ResConvLSTM,overall_global,categorical.5mmh.HSS,0.674704
ResConvLSTM,overall_global,categorical.5mmh.POD,0.672774
ResConvLSTM,overall_global,categorical.5mmh.a_hits,288330
ResConvLSTM,overall_global,categorical.5mmh.b_false_alarms,129463
ResConvLSTM,overall_global,categorical.5mmh.c_misses,140239
ResConvLSTM,overall_global,categorical.5mmh.d_correct_negatives,20184112
ResConvLSTM,overall_global,categorical.5mmh.n_total,20742144
ResConvLSTM,overall_global,peak_error_global,31.602982
ResConvLSTM,overall_window_mean,MAE_window_mean,0.237219
ResConvLSTM,overall_window_mean,RMSE_window_mean,0.700905
ResConvLSTM,overall_window_mean,SSIM_window_mean,0.964002
ResConvLSTM,overall_window_mean,n_defined_windows,1266
ResConvLSTM,overall_window_mean,peak_error_window_mean,7.574324
ResConvLSTM,overall_event_macro,ACC_10mmh_event_macro,0.997202
ResConvLSTM,overall_event_macro,ACC_20mmh_event_macro,0.999061
ResConvLSTM,overall_event_macro,ACC_30mmh_event_macro,0.999574
ResConvLSTM,overall_event_macro,ACC_5mmh_event_macro,0.992930
ResConvLSTM,overall_event_macro,BIAS_10mmh_event_macro,0.592787
ResConvLSTM,overall_event_macro,BIAS_20mmh_event_macro,0.475641
ResConvLSTM,overall_event_macro,BIAS_30mmh_event_macro,0.253250
ResConvLSTM,overall_event_macro,BIAS_5mmh_event_macro,0.735239
ResConvLSTM,overall_event_macro,CSI_10mmh_event_macro,0.311292
ResConvLSTM,overall_event_macro,CSI_20mmh_event_macro,0.231208
ResConvLSTM,overall_event_macro,CSI_30mmh_event_macro,0.118822
ResConvLSTM,overall_event_macro,CSI_5mmh_event_macro,0.405061
ResConvLSTM,overall_event_macro,FAR_10mmh_event_macro,0.337561
ResConvLSTM,overall_event_macro,FAR_20mmh_event_macro,0.398793
ResConvLSTM,overall_event_macro,FAR_30mmh_event_macro,0.450163
ResConvLSTM,overall_event_macro,FAR_5mmh_event_macro,0.451592
ResConvLSTM,overall_event_macro,HSS_10mmh_event_macro,0.434586
ResConvLSTM,overall_event_macro,HSS_20mmh_event_macro,0.371538
