model,level,metric,value
ResConvLSTM,overall_global,MAE_global,0.240324
ResConvLSTM,overall_global,RMSE_global,1.246955
ResConvLSTM,overall_global,categorical.10mmh.ACC,0.994934
ResConvLSTM,overall_global,categorical.10mmh.BIAS,0.853212
ResConvLSTM,overall_global,categorical.10mmh.CSI,0.424698
ResConvLSTM,overall_global,categorical.10mmh.FAR,0.352521
ResConvLSTM,overall_global,categorical.10mmh.HSS,0.593660
ResConvLSTM,overall_global,categorical.10mmh.POD,0.552436
ResConvLSTM,overall_global,categorical.10mmh.a_hits,77577
ResConvLSTM,overall_global,categorical.10mmh.b_false_alarms,42237
ResConvLSTM,overall_global,categorical.10mmh.c_misses,62850
ResConvLSTM,overall_global,categorical.10mmh.d_correct_negatives,20559480
ResConvLSTM,overall_global,categorical.10mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.20mmh.ACC,0.998183
ResConvLSTM,overall_global,categorical.20mmh.BIAS,0.630944
ResConvLSTM,overall_global,categorical.20mmh.CSI,0.292294
ResConvLSTM,overall_global,categorical.20mmh.FAR,0.415336
ResConvLSTM,overall_global,categorical.20mmh.HSS,0.451501
ResConvLSTM,overall_global,categorical.20mmh.POD,0.368890
ResConvLSTM,overall_global,categorical.20mmh.a_hits,15562
ResConvLSTM,overall_global,categorical.20mmh.b_false_alarms,11055
ResConvLSTM,overall_global,categorical.20mmh.c_misses,26624
ResConvLSTM,overall_global,categorical.20mmh.d_correct_negatives,20688903
ResConvLSTM,overall_global,categorical.20mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.30mmh.ACC,0.999119
ResConvLSTM,overall_global,categorical.30mmh.BIAS,0.344287
ResConvLSTM,overall_global,categorical.30mmh.CSI,0.166165
ResConvLSTM,overall_global,categorical.30mmh.FAR,0.443647
ResConvLSTM,overall_global,categorical.30mmh.HSS,0.284641
ResConvLSTM,overall_global,categorical.30mmh.POD,0.191545
ResConvLSTM,overall_global,categorical.30mmh.a_hits,3643
ResConvLSTM,overall_global,categorical.30mmh.b_false_alarms,2905
ResConvLSTM,overall_global,categorical.30mmh.c_misses,15376
ResConvLSTM,overall_global,categorical.30mmh.d_correct_negatives,20720220
ResConvLSTM,overall_global,categorical.30mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.5mmh.ACC,0.987457
ResConvLSTM,overall_global,categorical.5mmh.BIAS,0.945663
ResConvLSTM,overall_global,categorical.5mmh.CSI,0.524394
ResConvLSTM,overall_global,categorical.5mmh.FAR,0.292231
ResConvLSTM,overall_global,categorical.5mmh.HSS,0.681608
ResConvLSTM,overall_global,categorical.5mmh.POD,0.669311
ResConvLSTM,overall_global,categorical.5mmh.a_hits,286846
ResConvLSTM,overall_global,categorical.5mmh.b_false_alarms,118436
ResConvLSTM,overall_global,categorical.5mmh.c_misses,141723
ResConvLSTM,overall_global,categorical.5mmh.d_correct_negatives,20195139
ResConvLSTM,overall_global,categorical.5mmh.n_total,20742144
ResConvLSTM,overall_global,peak_error_global,28.543831
ResConvLSTM,overall_window_mean,MAE_window_mean,0.240324
ResConvLSTM,overall_window_mean,RMSE_window_mean,0.706689
ResConvLSTM,overall_window_mean,SSIM_window_mean,0.964061
ResConvLSTM,overall_window_mean,n_defined_windows,1266
ResConvLSTM,overall_window_mean,peak_error_window_mean,7.628709
ResConvLSTM,overall_event_macro,ACC_10mmh_event_macro,0.997304
ResConvLSTM,overall_event_macro,ACC_20mmh_event_macro,0.999082
ResConvLSTM,overall_event_macro,ACC_30mmh_event_macro,0.999577
ResConvLSTM,overall_event_macro,ACC_5mmh_event_macro,0.993200
ResConvLSTM,overall_event_macro,BIAS_10mmh_event_macro,0.598178
ResConvLSTM,overall_event_macro,BIAS_20mmh_event_macro,0.510758
ResConvLSTM,overall_event_macro,BIAS_30mmh_event_macro,0.202118
ResConvLSTM,overall_event_macro,BIAS_5mmh_event_macro,0.701761
ResConvLSTM,overall_event_macro,CSI_10mmh_event_macro,0.329502
ResConvLSTM,overall_event_macro,CSI_20mmh_event_macro,0.261985
ResConvLSTM,overall_event_macro,CSI_30mmh_event_macro,0.099542
ResConvLSTM,overall_event_macro,CSI_5mmh_event_macro,0.424644
ResConvLSTM,overall_event_macro,FAR_10mmh_event_macro,0.319160
