model,level,metric,value
ResConvLSTM,overall_global,MAE_global,0.245161
ResConvLSTM,overall_global,RMSE_global,1.251270
ResConvLSTM,overall_global,categorical.10mmh.ACC,0.994785
ResConvLSTM,overall_global,categorical.10mmh.BIAS,0.909234
ResConvLSTM,overall_global,categorical.10mmh.CSI,0.425060
ResConvLSTM,overall_global,categorical.10mmh.FAR,0.373673
ResConvLSTM,overall_global,categorical.10mmh.HSS,0.593932
ResConvLSTM,overall_global,categorical.10mmh.POD,0.569477
ResConvLSTM,overall_global,categorical.10mmh.a_hits,79970
ResConvLSTM,overall_global,categorical.10mmh.b_false_alarms,47711
ResConvLSTM,overall_global,categorical.10mmh.c_misses,60457
ResConvLSTM,overall_global,categorical.10mmh.d_correct_negatives,20554006
ResConvLSTM,overall_global,categorical.10mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.20mmh.ACC,0.998158
ResConvLSTM,overall_global,categorical.20mmh.BIAS,0.656474
ResConvLSTM,overall_global,categorical.20mmh.CSI,0.293068
ResConvLSTM,overall_global,categorical.20mmh.FAR,0.428107
ResConvLSTM,overall_global,categorical.20mmh.HSS,0.452409
ResConvLSTM,overall_global,categorical.20mmh.POD,0.375433
ResConvLSTM,overall_global,categorical.20mmh.a_hits,15838
ResConvLSTM,overall_global,categorical.20mmh.b_false_alarms,11856
ResConvLSTM,overall_global,categorical.20mmh.c_misses,26348
ResConvLSTM,overall_global,categorical.20mmh.d_correct_negatives,20688102
ResConvLSTM,overall_global,categorical.20mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.30mmh.ACC,0.999113
ResConvLSTM,overall_global,categorical.30mmh.BIAS,0.319680
ResConvLSTM,overall_global,categorical.30mmh.CSI,0.154242
ResConvLSTM,overall_global,categorical.30mmh.FAR,0.448355
ResConvLSTM,overall_global,categorical.30mmh.HSS,0.266936
ResConvLSTM,overall_global,categorical.30mmh.POD,0.176350
ResConvLSTM,overall_global,categorical.30mmh.a_hits,3354
ResConvLSTM,overall_global,categorical.30mmh.b_false_alarms,2726
ResConvLSTM,overall_global,categorical.30mmh.c_misses,15665
ResConvLSTM,overall_global,categorical.30mmh.d_correct_negatives,20720399
ResConvLSTM,overall_global,categorical.30mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.5mmh.ACC,0.987189
ResConvLSTM,overall_global,categorical.5mmh.BIAS,0.974385
ResConvLSTM,overall_global,categorical.5mmh.CSI,0.522027
ResConvLSTM,overall_global,categorical.5mmh.FAR,0.305021
ResConvLSTM,overall_global,categorical.5mmh.HSS,0.679425
ResConvLSTM,overall_global,categorical.5mmh.POD,0.677177
ResConvLSTM,overall_global,categorical.5mmh.a_hits,290217
ResConvLSTM,overall_global,categorical.5mmh.b_false_alarms,127374
ResConvLSTM,overall_global,categorical.5mmh.c_misses,138352
ResConvLSTM,overall_global,categorical.5mmh.d_correct_negatives,20186201
ResConvLSTM,overall_global,categorical.5mmh.n_total,20742144
ResConvLSTM,overall_global,peak_error_global,27.723694
ResConvLSTM,overall_window_mean,MAE_window_mean,0.245161
ResConvLSTM,overall_window_mean,RMSE_window_mean,0.706187
ResConvLSTM,overall_window_mean,SSIM_window_mean,0.963928
ResConvLSTM,overall_window_mean,n_defined_windows,1266
ResConvLSTM,overall_window_mean,peak_error_window_mean,7.776965
ResConvLSTM,overall_event_macro,ACC_10mmh_event_macro,0.997233
ResConvLSTM,overall_event_macro,ACC_20mmh_event_macro,0.999067
ResConvLSTM,overall_event_macro,ACC_30mmh_event_macro,0.999574
ResConvLSTM,overall_event_macro,ACC_5mmh_event_macro,0.993067
ResConvLSTM,overall_event_macro,BIAS_10mmh_event_macro,0.598538
ResConvLSTM,overall_event_macro,BIAS_20mmh_event_macro,0.400439
ResConvLSTM,overall_event_macro,BIAS_30mmh_event_macro,0.186297
ResConvLSTM,overall_event_macro,BIAS_5mmh_event_macro,0.710843
ResConvLSTM,overall_event_macro,CSI_10mmh_event_macro,0.323776
ResConvLSTM,overall_event_macro,CSI_20mmh_event_macro,0.196349
ResConvLSTM,overall_event_macro,CSI_30mmh_event_macro,0.094340
ResConvLSTM,overall_event_macro,CSI_5mmh_event_macro,0.417960
ResConvLSTM,overall_event_macro,FAR_10mmh_event_macro,0.323635
ResConvLSTM,overall_event_macro,FAR_20mmh_event_macro,0.386964
ResConvLSTM,overall_event_macro,FAR_30mmh_event_macro,0.427528
ResConvLSTM,overall_event_macro,FAR_5mmh_event_macro,0.388539
ResConvLSTM,overall_event_macro,HSS_10mmh_event_macro,0.445710
ResConvLSTM,overall_event_macro,HSS_20mmh_event_macro,0.318265
ResConvLSTM,overall_event_macro,HSS_30mmh_event_macro,0.164743
ResConvLSTM,overall_event_macro,HSS_5mmh_event_macro,0.535859
ResConvLSTM,overall_event_macro,MAE_event,0.140483
ResConvLSTM,overall_event_macro,POD_10mmh_event_macro,0.404420
ResConvLSTM,overall_event_macro,POD_20mmh_event_macro,0.237214
ResConvLSTM,overall_event_macro,POD_30mmh_event_macro,0.105958
ResConvLSTM,overall_event_macro,POD_5mmh_event_macro,0.509262
ResConvLSTM,overall_event_macro,RMSE_event,0.515848
ResConvLSTM,overall_event_macro,SSIM_event_mean,0.979354
ResConvLSTM,overall_event_macro,n_events,7
ResConvLSTM,per_event,2203.MAE_event,0.607525
ResConvLSTM,per_event,2203.RMSE_event,2.114984
ResConvLSTM,per_event,2203.SSIM_event_mean,0.912116
ResConvLSTM,per_event,2203.categorical.10mmh.ACC,0.985792
ResConvLSTM,per_event,2203.categorical.10mmh.BIAS,0.944367
ResConvLSTM,per_event,2203.categorical.10mmh.CSI,0.436633
ResConvLSTM,per_event,2203.categorical.10mmh.FAR,0.374239
ResConvLSTM,per_event,2203.categorical.10mmh.HSS,0.600627
ResConvLSTM,per_event,2203.categorical.10mmh.POD,0.590948
ResConvLSTM,per_event,2203.categorical.10mmh.a_hits,71445
ResConvLSTM,per_event,2203.categorical.10mmh.b_false_alarms,42728
ResConvLSTM,per_event,2203.categorical.10mmh.c_misses,49454
ResConvLSTM,per_event,2203.categorical.10mmh.d_correct_negatives,6324437
ResConvLSTM,per_event,2203.categorical.10mmh.n_total,6488064
ResConvLSTM,per_event,2203.categorical.20mmh.ACC,0.994650
ResConvLSTM,per_event,2203.categorical.20mmh.BIAS,0.687134
ResConvLSTM,per_event,2203.categorical.20mmh.CSI,0.302332
ResConvLSTM,per_event,2203.categorical.20mmh.FAR,0.430006
ResConvLSTM,per_event,2203.categorical.20mmh.HSS,0.461698
ResConvLSTM,per_event,2203.categorical.20mmh.POD,0.391662
ResConvLSTM,per_event,2203.categorical.20mmh.a_hits,15041
ResConvLSTM,per_event,2203.categorical.20mmh.b_false_alarms,11347
ResConvLSTM,per_event,2203.categorical.20mmh.c_misses,23362
ResConvLSTM,per_event,2203.categorical.20mmh.d_correct_negatives,6438314
ResConvLSTM,per_event,2203.categorical.20mmh.n_total,6488064
ResConvLSTM,per_event,2203.categorical.30mmh.ACC,0.997325
ResConvLSTM,per_event,2203.categorical.30mmh.BIAS,0.325212
ResConvLSTM,per_event,2203.categorical.30mmh.CSI,0.155967
ResConvLSTM,per_event,2203.categorical.30mmh.FAR,0.450197
ResConvLSTM,per_event,2203.categorical.30mmh.HSS,0.268855
ResConvLSTM,per_event,2203.categorical.30mmh.POD,0.178802
ResConvLSTM,per_event,2203.categorical.30mmh.a_hits,3207
ResConvLSTM,per_event,2203.categorical.30mmh.b_false_alarms,2626
ResConvLSTM,per_event,2203.categorical.30mmh.c_misses,14729
ResConvLSTM,per_event,2203.categorical.30mmh.d_correct_negatives,6467502
ResConvLSTM,per_event,2203.categorical.30mmh.n_total,6488064
ResConvLSTM,per_event,2203.categorical.5mmh.ACC,0.966817
ResConvLSTM,per_event,2203.categorical.5mmh.BIAS,1.010767
ResConvLSTM,per_event,2203.categorical.5mmh.CSI,0.531539
ResConvLSTM,per_event,2203.categorical.5mmh.FAR,0.309573
ResConvLSTM,per_event,2203.categorical.5mmh.HSS,0.676581
ResConvLSTM,per_event,2203.categorical.5mmh.POD,0.697861
ResConvLSTM,per_event,2203.categorical.5mmh.a_hits,244282
ResConvLSTM,per_event,2203.categorical.5mmh.b_false_alarms,109531
ResConvLSTM,per_event,2203.categorical.5mmh.c_misses,105762
ResConvLSTM,per_event,2203.categorical.5mmh.d_correct_negatives,6028489
ResConvLSTM,per_event,2203.categorical.5mmh.n_total,6488064
ResConvLSTM,per_event,2203.n_windows,396
ResConvLSTM,per_event,2203.peak_error_event,27.723694
