model,level,metric,value
ResConvLSTM,overall_global,MAE_global,0.246680
ResConvLSTM,overall_global,RMSE_global,1.254074
ResConvLSTM,overall_global,categorical.10mmh.ACC,0.994909
ResConvLSTM,overall_global,categorical.10mmh.BIAS,0.845749
ResConvLSTM,overall_global,categorical.10mmh.CSI,0.421053
ResConvLSTM,overall_global,categorical.10mmh.FAR,0.353367
ResConvLSTM,overall_global,categorical.10mmh.HSS,0.590050
ResConvLSTM,overall_global,categorical.10mmh.POD,0.546889
ResConvLSTM,overall_global,categorical.10mmh.a_hits,76798
ResConvLSTM,overall_global,categorical.10mmh.b_false_alarms,41968
ResConvLSTM,overall_global,categorical.10mmh.c_misses,63629
ResConvLSTM,overall_global,categorical.10mmh.d_correct_negatives,20559749
ResConvLSTM,overall_global,categorical.10mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.20mmh.ACC,0.998174
ResConvLSTM,overall_global,categorical.20mmh.BIAS,0.650429
ResConvLSTM,overall_global,categorical.20mmh.CSI,0.295325
ResConvLSTM,overall_global,categorical.20mmh.FAR,0.421480
ResConvLSTM,overall_global,categorical.20mmh.HSS,0.455112
ResConvLSTM,overall_global,categorical.20mmh.POD,0.376286
ResConvLSTM,overall_global,categorical.20mmh.a_hits,15874
ResConvLSTM,overall_global,categorical.20mmh.b_false_alarms,11565
ResConvLSTM,overall_global,categorical.20mmh.c_misses,26312
ResConvLSTM,overall_global,categorical.20mmh.d_correct_negatives,20688393
ResConvLSTM,overall_global,categorical.20mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.30mmh.ACC,0.999120
ResConvLSTM,overall_global,categorical.30mmh.BIAS,0.403596
ResConvLSTM,overall_global,categorical.30mmh.CSI,0.187764
ResConvLSTM,overall_global,categorical.30mmh.FAR,0.450234
ResConvLSTM,overall_global,categorical.30mmh.HSS,0.315803
ResConvLSTM,overall_global,categorical.30mmh.POD,0.221883
ResConvLSTM,overall_global,categorical.30mmh.a_hits,4220
ResConvLSTM,overall_global,categorical.30mmh.b_false_alarms,3456
ResConvLSTM,overall_global,categorical.30mmh.c_misses,14799
ResConvLSTM,overall_global,categorical.30mmh.d_correct_negatives,20719669
ResConvLSTM,overall_global,categorical.30mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.5mmh.ACC,0.987462
ResConvLSTM,overall_global,categorical.5mmh.BIAS,0.947966
ResConvLSTM,overall_global,categorical.5mmh.CSI,0.524958
