model,level,metric,value
ResConvLSTM,overall_global,MAE_global,0.222160
ResConvLSTM,overall_global,RMSE_global,1.251911
ResConvLSTM,overall_global,categorical.10mmh.ACC,0.994958
ResConvLSTM,overall_global,categorical.10mmh.BIAS,0.828808
ResConvLSTM,overall_global,categorical.10mmh.CSI,0.421257
ResConvLSTM,overall_global,categorical.10mmh.FAR,0.345984
ResConvLSTM,overall_global,categorical.10mmh.HSS,0.590281
ResConvLSTM,overall_global,categorical.10mmh.POD,0.542054
ResConvLSTM,overall_global,categorical.10mmh.a_hits,76119
ResConvLSTM,overall_global,categorical.10mmh.b_false_alarms,40268
ResConvLSTM,overall_global,categorical.10mmh.c_misses,64308
ResConvLSTM,overall_global,categorical.10mmh.d_correct_negatives,20561449
ResConvLSTM,overall_global,categorical.10mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.20mmh.ACC,0.998179
ResConvLSTM,overall_global,categorical.20mmh.BIAS,0.668445
ResConvLSTM,overall_global,categorical.20mmh.CSI,0.301546
ResConvLSTM,overall_global,categorical.20mmh.FAR,0.421717
ResConvLSTM,overall_global,categorical.20mmh.HSS,0.462490
ResConvLSTM,overall_global,categorical.20mmh.POD,0.386550
ResConvLSTM,overall_global,categorical.20mmh.a_hits,16307
ResConvLSTM,overall_global,categorical.20mmh.b_false_alarms,11892
ResConvLSTM,overall_global,categorical.20mmh.c_misses,25879
ResConvLSTM,overall_global,categorical.20mmh.d_correct_negatives,20688066
ResConvLSTM,overall_global,categorical.20mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.30mmh.ACC,0.999123
ResConvLSTM,overall_global,categorical.30mmh.BIAS,0.420737
ResConvLSTM,overall_global,categorical.30mmh.CSI,0.195091
ResConvLSTM,overall_global,categorical.30mmh.FAR,0.448763
ResConvLSTM,overall_global,categorical.30mmh.HSS,0.326121
ResConvLSTM,overall_global,categorical.30mmh.POD,0.231926
ResConvLSTM,overall_global,categorical.30mmh.a_hits,4411
ResConvLSTM,overall_global,categorical.30mmh.b_false_alarms,3591
ResConvLSTM,overall_global,categorical.30mmh.c_misses,14608
ResConvLSTM,overall_global,categorical.30mmh.d_correct_negatives,20719534
ResConvLSTM,overall_global,categorical.30mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.5mmh.ACC,0.987619
ResConvLSTM,overall_global,categorical.5mmh.BIAS,0.903350
ResConvLSTM,overall_global,categorical.5mmh.CSI,0.521119
ResConvLSTM,overall_global,categorical.5mmh.FAR,0.278168
ResConvLSTM,overall_global,categorical.5mmh.HSS,0.678881
ResConvLSTM,overall_global,categorical.5mmh.POD,0.652068
ResConvLSTM,overall_global,categorical.5mmh.a_hits,279456
ResConvLSTM,overall_global,categorical.5mmh.b_false_alarms,107692
ResConvLSTM,overall_global,categorical.5mmh.c_misses,149113
ResConvLSTM,overall_global,categorical.5mmh.d_correct_negatives,20205883
ResConvLSTM,overall_global,categorical.5mmh.n_total,20742144
ResConvLSTM,overall_global,peak_error_global,30.539848
ResConvLSTM,overall_window_mean,MAE_window_mean,0.222160
ResConvLSTM,overall_window_mean,RMSE_window_mean,0.692272
ResConvLSTM,overall_window_mean,SSIM_window_mean,0.965586
ResConvLSTM,overall_window_mean,n_defined_windows,1266
ResConvLSTM,overall_window_mean,peak_error_window_mean,7.808270
ResConvLSTM,overall_event_macro,ACC_10mmh_event_macro,0.997309
ResConvLSTM,overall_event_macro,ACC_20mmh_event_macro,0.999080
ResConvLSTM,overall_event_macro,ACC_30mmh_event_macro,0.999578
ResConvLSTM,overall_event_macro,ACC_5mmh_event_macro,0.993259
ResConvLSTM,overall_event_macro,BIAS_10mmh_event_macro,0.563537
ResConvLSTM,overall_event_macro,BIAS_20mmh_event_macro,0.500236
ResConvLSTM,overall_event_macro,BIAS_30mmh_event_macro,0.262378
ResConvLSTM,overall_event_macro,BIAS_5mmh_event_macro,0.680316
ResConvLSTM,overall_event_macro,CSI_10mmh_event_macro,0.316378
ResConvLSTM,overall_event_macro,CSI_20mmh_event_macro,0.253747
ResConvLSTM,overall_event_macro,CSI_30mmh_event_macro,0.121001
ResConvLSTM,overall_event_macro,CSI_5mmh_event_macro,0.414574
ResConvLSTM,overall_event_macro,FAR_10mmh_event_macro,0.313320
ResConvLSTM,overall_event_macro,FAR_20mmh_event_macro,0.378412
ResConvLSTM,overall_event_macro,FAR_30mmh_event_macro,0.456356
ResConvLSTM,overall_event_macro,FAR_5mmh_event_macro,0.379028
ResConvLSTM,overall_event_macro,HSS_10mmh_event_macro,0.439017
ResConvLSTM,overall_event_macro,HSS_20mmh_event_macro,0.402209
ResConvLSTM,overall_event_macro,HSS_30mmh_event_macro,0.204224
ResConvLSTM,overall_event_macro,HSS_5mmh_event_macro,0.533172
ResConvLSTM,overall_event_macro,MAE_event,0.122718
ResConvLSTM,overall_event_macro,POD_10mmh_event_macro,0.388481
ResConvLSTM,overall_event_macro,POD_20mmh_event_macro,0.305661
ResConvLSTM,overall_event_macro,POD_30mmh_event_macro,0.142815
ResConvLSTM,overall_event_macro,POD_5mmh_event_macro,0.496273
ResConvLSTM,overall_event_macro,RMSE_event,0.499445
ResConvLSTM,overall_event_macro,SSIM_event_mean,0.980585
ResConvLSTM,overall_event_macro,n_events,7
ResConvLSTM,per_event,2203.MAE_event,0.563629
ResConvLSTM,per_event,2203.RMSE_event,2.115929
ResConvLSTM,per_event,2203.SSIM_event_mean,0.916109
ResConvLSTM,per_event,2203.categorical.10mmh.ACC,0.986321
ResConvLSTM,per_event,2203.categorical.10mmh.BIAS,0.857476
ResConvLSTM,per_event,2203.categorical.10mmh.CSI,0.433467
ResConvLSTM,per_event,2203.categorical.10mmh.FAR,0.344957
ResConvLSTM,per_event,2203.categorical.10mmh.HSS,0.597863
ResConvLSTM,per_event,2203.categorical.10mmh.POD,0.561684
ResConvLSTM,per_event,2203.categorical.10mmh.a_hits,67907
ResConvLSTM,per_event,2203.categorical.10mmh.b_false_alarms,35761
ResConvLSTM,per_event,2203.categorical.10mmh.c_misses,52992
ResConvLSTM,per_event,2203.categorical.10mmh.d_correct_negatives,6331404
ResConvLSTM,per_event,2203.categorical.10mmh.n_total,6488064
ResConvLSTM,per_event,2203.categorical.20mmh.ACC,0.994710
ResConvLSTM,per_event,2203.categorical.20mmh.BIAS,0.692368
ResConvLSTM,per_event,2203.categorical.20mmh.CSI,0.308818
ResConvLSTM,per_event,2203.categorical.20mmh.FAR,0.423258
ResConvLSTM,per_event,2203.categorical.20mmh.HSS,0.469334
ResConvLSTM,per_event,2203.categorical.20mmh.POD,0.399318
ResConvLSTM,per_event,2203.categorical.20mmh.a_hits,15335
ResConvLSTM,per_event,2203.categorical.20mmh.b_false_alarms,11254
ResConvLSTM,per_event,2203.categorical.20mmh.c_misses,23068
ResConvLSTM,per_event,2203.categorical.20mmh.d_correct_negatives,6438407
ResConvLSTM,per_event,2203.categorical.20mmh.n_total,6488064
ResConvLSTM,per_event,2203.categorical.30mmh.ACC,0.997358
ResConvLSTM,per_event,2203.categorical.30mmh.BIAS,0.424788
ResConvLSTM,per_event,2203.categorical.30mmh.CSI,0.197012
ResConvLSTM,per_event,2203.categorical.30mmh.FAR,0.447959
ResConvLSTM,per_event,2203.categorical.30mmh.HSS,0.328065
ResConvLSTM,per_event,2203.categorical.30mmh.POD,0.234500
ResConvLSTM,per_event,2203.categorical.30mmh.a_hits,4206
ResConvLSTM,per_event,2203.categorical.30mmh.b_false_alarms,3413
ResConvLSTM,per_event,2203.categorical.30mmh.c_misses,13730
ResConvLSTM,per_event,2203.categorical.30mmh.d_correct_negatives,6466715
ResConvLSTM,per_event,2203.categorical.30mmh.n_total,6488064
ResConvLSTM,per_event,2203.categorical.5mmh.ACC,0.968204
ResConvLSTM,per_event,2203.categorical.5mmh.BIAS,0.931411
ResConvLSTM,per_event,2203.categorical.5mmh.CSI,0.532406
ResConvLSTM,per_event,2203.categorical.5mmh.FAR,0.279553
ResConvLSTM,per_event,2203.categorical.5mmh.HSS,0.678113
ResConvLSTM,per_event,2203.categorical.5mmh.POD,0.671033
ResConvLSTM,per_event,2203.categorical.5mmh.a_hits,234891
ResConvLSTM,per_event,2203.categorical.5mmh.b_false_alarms,91144
ResConvLSTM,per_event,2203.categorical.5mmh.c_misses,115153
ResConvLSTM,per_event,2203.categorical.5mmh.d_correct_negatives,6046876
ResConvLSTM,per_event,2203.categorical.5mmh.n_total,6488064
ResConvLSTM,per_event,2203.n_windows,396
ResConvLSTM,per_event,2203.peak_error_event,30.539848
ResConvLSTM,per_event,2205.MAE_event,0.249895
ResConvLSTM,per_event,2205.RMSE_event,0.962324
ResConvLSTM,per_event,2205.SSIM_event_mean,0.954924
ResConvLSTM,per_event,2205.categorical.10mmh.ACC,0.995965
ResConvLSTM,per_event,2205.categorical.10mmh.BIAS,0.633015
ResConvLSTM,per_event,2205.categorical.10mmh.CSI,0.314812
ResConvLSTM,per_event,2205.categorical.10mmh.FAR,0.382320
ResConvLSTM,per_event,2205.categorical.10mmh.HSS,0.476947
ResConvLSTM,per_event,2205.categorical.10mmh.POD,0.391001
ResConvLSTM,per_event,2205.categorical.10mmh.a_hits,6561
ResConvLSTM,per_event,2205.categorical.10mmh.b_false_alarms,4061
ResConvLSTM,per_event,2205.categorical.10mmh.c_misses,10219
ResConvLSTM,per_event,2205.categorical.10mmh.d_correct_negatives,3518103
ResConvLSTM,per_event,2205.categorical.10mmh.n_total,3538944
ResConvLSTM,per_event,2205.categorical.20mmh.ACC,0.999137
ResConvLSTM,per_event,2205.categorical.20mmh.BIAS,0.432530
ResConvLSTM,per_event,2205.categorical.20mmh.CSI,0.217926
ResConvLSTM,per_event,2205.categorical.20mmh.FAR,0.407382
ResConvLSTM,per_event,2205.categorical.20mmh.HSS,0.357500
ResConvLSTM,per_event,2205.categorical.20mmh.POD,0.256325
ResConvLSTM,per_event,2205.categorical.20mmh.a_hits,851
ResConvLSTM,per_event,2205.categorical.20mmh.b_false_alarms,585
ResConvLSTM,per_event,2205.categorical.20mmh.c_misses,2469
ResConvLSTM,per_event,2205.categorical.20mmh.d_correct_negatives,3535039
ResConvLSTM,per_event,2205.categorical.20mmh.n_total,3538944
ResConvLSTM,per_event,2205.categorical.30mmh.ACC,0.999709
ResConvLSTM,per_event,2205.categorical.30mmh.BIAS,0.362346
ResConvLSTM,per_event,2205.categorical.30mmh.CSI,0.165992
ResConvLSTM,per_event,2205.categorical.30mmh.FAR,0.464752
ResConvLSTM,per_event,2205.categorical.30mmh.HSS,0.284609
ResConvLSTM,per_event,2205.categorical.30mmh.POD,0.193945
ResConvLSTM,per_event,2205.categorical.30mmh.a_hits,205
ResConvLSTM,per_event,2205.categorical.30mmh.b_false_alarms,178
ResConvLSTM,per_event,2205.categorical.30mmh.c_misses,852
ResConvLSTM,per_event,2205.categorical.30mmh.d_correct_negatives,3537709
ResConvLSTM,per_event,2205.categorical.30mmh.n_total,3538944
ResConvLSTM,per_event,2205.categorical.5mmh.ACC,0.986448
ResConvLSTM,per_event,2205.categorical.5mmh.BIAS,0.771310
ResConvLSTM,per_event,2205.categorical.5mmh.CSI,0.454962
ResConvLSTM,per_event,2205.categorical.5mmh.FAR,0.281894
ResConvLSTM,per_event,2205.categorical.5mmh.HSS,0.618610
ResConvLSTM,per_event,2205.categorical.5mmh.POD,0.553883
ResConvLSTM,per_event,2205.categorical.5mmh.a_hits,40033
ResConvLSTM,per_event,2205.categorical.5mmh.b_false_alarms,15715
ResConvLSTM,per_event,2205.categorical.5mmh.c_misses,32244
ResConvLSTM,per_event,2205.categorical.5mmh.d_correct_negatives,3450952
ResConvLSTM,per_event,2205.categorical.5mmh.n_total,3538944
ResConvLSTM,per_event,2205.n_windows,216
ResConvLSTM,per_event,2205.peak_error_event,38.760323
ResConvLSTM,per_event,2208.MAE_event,0.000087
ResConvLSTM,per_event,2208.RMSE_event,0.002091
ResConvLSTM,per_event,2208.SSIM_event_mean,0.999999
ResConvLSTM,per_event,2208.categorical.10mmh.ACC,1.000000
ResConvLSTM,per_event,2208.categorical.10mmh.BIAS,nan
ResConvLSTM,per_event,2208.categorical.10mmh.CSI,nan
ResConvLSTM,per_event,2208.categorical.10mmh.FAR,nan
ResConvLSTM,per_event,2208.categorical.10mmh.HSS,nan
ResConvLSTM,per_event,2208.categorical.10mmh.POD,nan
ResConvLSTM,per_event,2208.categorical.10mmh.a_hits,0
ResConvLSTM,per_event,2208.categorical.10mmh.b_false_alarms,0
ResConvLSTM,per_event,2208.categorical.10mmh.c_misses,0
ResConvLSTM,per_event,2208.categorical.10mmh.d_correct_negatives,786432
ResConvLSTM,per_event,2208.categorical.10mmh.n_total,786432
ResConvLSTM,per_event,2208.categorical.20mmh.ACC,1.000000
ResConvLSTM,per_event,2208.categorical.20mmh.BIAS,nan
ResConvLSTM,per_event,2208.categorical.20mmh.CSI,nan
ResConvLSTM,per_event,2208.categorical.20mmh.FAR,nan
ResConvLSTM,per_event,2208.categorical.20mmh.HSS,nan
ResConvLSTM,per_event,2208.categorical.20mmh.POD,nan
ResConvLSTM,per_event,2208.categorical.20mmh.a_hits,0
ResConvLSTM,per_event,2208.categorical.20mmh.b_false_alarms,0
ResConvLSTM,per_event,2208.categorical.20mmh.c_misses,0
ResConvLSTM,per_event,2208.categorical.20mmh.d_correct_negatives,786432
ResConvLSTM,per_event,2208.categorical.20mmh.n_total,786432
ResConvLSTM,per_event,2208.categorical.30mmh.ACC,1.000000
ResConvLSTM,per_event,2208.categorical.30mmh.BIAS,nan
ResConvLSTM,per_event,2208.categorical.30mmh.CSI,nan
ResConvLSTM,per_event,2208.categorical.30mmh.FAR,nan
ResConvLSTM,per_event,2208.categorical.30mmh.HSS,nan
ResConvLSTM,per_event,2208.categorical.30mmh.POD,nan
ResConvLSTM,per_event,2208.categorical.30mmh.a_hits,0
ResConvLSTM,per_event,2208.categorical.30mmh.b_false_alarms,0
ResConvLSTM,per_event,2208.categorical.30mmh.c_misses,0
ResConvLSTM,per_event,2208.categorical.30mmh.d_correct_negatives,786432
ResConvLSTM,per_event,2208.categorical.30mmh.n_total,786432
ResConvLSTM,per_event,2208.categorical.5mmh.ACC,1.000000
ResConvLSTM,per_event,2208.categorical.5mmh.BIAS,nan
ResConvLSTM,per_event,2208.categorical.5mmh.CSI,nan
ResConvLSTM,per_event,2208.categorical.5mmh.FAR,nan
ResConvLSTM,per_event,2208.categorical.5mmh.HSS,nan
ResConvLSTM,per_event,2208.categorical.5mmh.POD,nan
ResConvLSTM,per_event,2208.categorical.5mmh.a_hits,0
ResConvLSTM,per_event,2208.categorical.5mmh.b_false_alarms,0
ResConvLSTM,per_event,2208.categorical.5mmh.c_misses,0
ResConvLSTM,per_event,2208.categorical.5mmh.d_correct_negatives,786432
ResConvLSTM,per_event,2208.categorical.5mmh.n_total,786432
ResConvLSTM,per_event,2208.n_windows,48
ResConvLSTM,per_event,2208.peak_error_event,0.259234
ResConvLSTM,per_event,2210.MAE_event,0.000430
ResConvLSTM,per_event,2210.RMSE_event,0.005184
ResConvLSTM,per_event,2210.SSIM_event_mean,0.999986
ResConvLSTM,per_event,2210.categorical.10mmh.ACC,1.000000
ResConvLSTM,per_event,2210.categorical.10mmh.BIAS,nan
ResConvLSTM,per_event,2210.categorical.10mmh.CSI,nan
ResConvLSTM,per_event,2210.categorical.10mmh.FAR,nan
