model,level,metric,value
ResConvLSTM,overall_global,MAE_global,0.410866
ResConvLSTM,overall_global,RMSE_global,1.594965
ResConvLSTM,overall_global,categorical.10mmh.ACC,0.989128
ResConvLSTM,overall_global,categorical.10mmh.BIAS,2.078489
ResConvLSTM,overall_global,categorical.10mmh.CSI,0.314378
ResConvLSTM,overall_global,categorical.10mmh.FAR,0.645740
ResConvLSTM,overall_global,categorical.10mmh.HSS,0.473555
ResConvLSTM,overall_global,categorical.10mmh.POD,0.736326
ResConvLSTM,overall_global,categorical.10mmh.a_hits,103400
ResConvLSTM,overall_global,categorical.10mmh.b_false_alarms,188476
ResConvLSTM,overall_global,categorical.10mmh.c_misses,37027
ResConvLSTM,overall_global,categorical.10mmh.d_correct_negatives,20413241
ResConvLSTM,overall_global,categorical.10mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.20mmh.ACC,0.997828
ResConvLSTM,overall_global,categorical.20mmh.BIAS,1.080216
ResConvLSTM,overall_global,categorical.20mmh.CSI,0.321587
ResConvLSTM,overall_global,categorical.20mmh.FAR,0.531402
ResConvLSTM,overall_global,categorical.20mmh.HSS,0.485581
ResConvLSTM,overall_global,categorical.20mmh.POD,0.506187
ResConvLSTM,overall_global,categorical.20mmh.a_hits,21354
ResConvLSTM,overall_global,categorical.20mmh.b_false_alarms,24216
ResConvLSTM,overall_global,categorical.20mmh.c_misses,20832
ResConvLSTM,overall_global,categorical.20mmh.d_correct_negatives,20675742
ResConvLSTM,overall_global,categorical.20mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.30mmh.ACC,0.999031
ResConvLSTM,overall_global,categorical.30mmh.BIAS,0.799201
ResConvLSTM,overall_global,categorical.30mmh.CSI,0.260043
ResConvLSTM,overall_global,categorical.30mmh.FAR,0.535395
ResConvLSTM,overall_global,categorical.30mmh.HSS,0.412274
ResConvLSTM,overall_global,categorical.30mmh.POD,0.371313
ResConvLSTM,overall_global,categorical.30mmh.a_hits,7062
ResConvLSTM,overall_global,categorical.30mmh.b_false_alarms,8138
ResConvLSTM,overall_global,categorical.30mmh.c_misses,11957
ResConvLSTM,overall_global,categorical.30mmh.d_correct_negatives,20714987
ResConvLSTM,overall_global,categorical.30mmh.n_total,20742144
ResConvLSTM,overall_global,categorical.5mmh.ACC,0.975603
ResConvLSTM,overall_global,categorical.5mmh.BIAS,1.799589
ResConvLSTM,overall_global,categorical.5mmh.CSI,0.406694
ResConvLSTM,overall_global,categorical.5mmh.FAR,0.550232
ResConvLSTM,overall_global,categorical.5mmh.HSS,0.566717
ResConvLSTM,overall_global,categorical.5mmh.POD,0.809398
ResConvLSTM,overall_global,categorical.5mmh.a_hits,346883
ResConvLSTM,overall_global,categorical.5mmh.b_false_alarms,424365
ResConvLSTM,overall_global,categorical.5mmh.c_misses,81686
ResConvLSTM,overall_global,categorical.5mmh.d_correct_negatives,19889210
ResConvLSTM,overall_global,categorical.5mmh.n_total,20742144
ResConvLSTM,overall_global,peak_error_global,16.107910
ResConvLSTM,overall_window_mean,MAE_window_mean,0.410866
ResConvLSTM,overall_window_mean,RMSE_window_mean,0.984516
ResConvLSTM,overall_window_mean,SSIM_window_mean,0.918375
ResConvLSTM,overall_window_mean,n_defined_windows,1266
ResConvLSTM,overall_window_mean,peak_error_window_mean,4.833524
ResConvLSTM,overall_event_macro,ACC_10mmh_event_macro,0.994268
ResConvLSTM,overall_event_macro,ACC_20mmh_event_macro,0.998891
ResConvLSTM,overall_event_macro,ACC_30mmh_event_macro,0.999533
ResConvLSTM,overall_event_macro,ACC_5mmh_event_macro,0.987302
ResConvLSTM,overall_event_macro,BIAS_10mmh_event_macro,1.601734
ResConvLSTM,overall_event_macro,BIAS_20mmh_event_macro,1.117011
ResConvLSTM,overall_event_macro,BIAS_30mmh_event_macro,0.602436
ResConvLSTM,overall_event_macro,BIAS_5mmh_event_macro,1.226316
ResConvLSTM,overall_event_macro,CSI_10mmh_event_macro,0.265587
ResConvLSTM,overall_event_macro,CSI_20mmh_event_macro,0.300375
ResConvLSTM,overall_event_macro,CSI_30mmh_event_macro,0.154041
ResConvLSTM,overall_event_macro,CSI_5mmh_event_macro,0.370363
ResConvLSTM,overall_event_macro,FAR_10mmh_event_macro,0.705536
ResConvLSTM,overall_event_macro,FAR_20mmh_event_macro,0.562885
ResConvLSTM,overall_event_macro,FAR_30mmh_event_macro,0.709412
ResConvLSTM,overall_event_macro,FAR_5mmh_event_macro,0.567246
ResConvLSTM,overall_event_macro,HSS_10mmh_event_macro,0.383098
ResConvLSTM,overall_event_macro,HSS_20mmh_event_macro,0.459705
ResConvLSTM,overall_event_macro,HSS_30mmh_event_macro,0.248944
ResConvLSTM,overall_event_macro,HSS_5mmh_event_macro,0.486333
ResConvLSTM,overall_event_macro,MAE_event,0.222825
ResConvLSTM,overall_event_macro,POD_10mmh_event_macro,0.569852
ResConvLSTM,overall_event_macro,POD_20mmh_event_macro,0.488847
ResConvLSTM,overall_event_macro,POD_30mmh_event_macro,0.219089
ResConvLSTM,overall_event_macro,POD_5mmh_event_macro,0.613092
ResConvLSTM,overall_event_macro,RMSE_event,0.670810
ResConvLSTM,overall_event_macro,SSIM_event_mean,0.954957
ResConvLSTM,overall_event_macro,n_events,7
ResConvLSTM,per_event,2203.MAE_event,1.094281
ResConvLSTM,per_event,2203.RMSE_event,2.692710
ResConvLSTM,per_event,2203.SSIM_event_mean,0.786128
ResConvLSTM,per_event,2203.categorical.10mmh.ACC,0.970263
ResConvLSTM,per_event,2203.categorical.10mmh.BIAS,2.085791
ResConvLSTM,per_event,2203.categorical.10mmh.CSI,0.318251
ResConvLSTM,per_event,2203.categorical.10mmh.FAR,0.642836
ResConvLSTM,per_event,2203.categorical.10mmh.HSS,0.469474
ResConvLSTM,per_event,2203.categorical.10mmh.POD,0.744969
ResConvLSTM,per_event,2203.categorical.10mmh.a_hits,90066
ResConvLSTM,per_event,2203.categorical.10mmh.b_false_alarms,162104
ResConvLSTM,per_event,2203.categorical.10mmh.c_misses,30833
ResConvLSTM,per_event,2203.categorical.10mmh.d_correct_negatives,6205061
ResConvLSTM,per_event,2203.categorical.10mmh.n_total,6488064
