axis,contrast,baseline,candidate,metric,threshold_mmh,typhoon_id,diff
AxisI,I3 - I2,I2,I3,MAE_event,,2203,0.018834588498941485
AxisI,I3 - I2,I2,I3,MAE_event,,2205,-7.946041453676944e-05
AxisI,I3 - I2,I2,I3,MAE_event,,2208,-0.029015921940867884
AxisI,I3 - I2,I2,I3,MAE_event,,2210,-0.014354403953192511
AxisI,I3 - I2,I2,I3,MAE_event,,2212,-0.016574798877989586
AxisI,I3 - I2,I2,I3,MAE_event,,2214,-0.01627427087241558
AxisI,I3 - I2,I2,I3,MAE_event,,2217,-0.022500735186893404
AxisI,I3 - I2,I2,I3,RMSE_event,,2203,0.0330084185136319
AxisI,I3 - I2,I2,I3,RMSE_event,,2205,-0.00019460880289690063
AxisI,I3 - I2,I2,I3,RMSE_event,,2208,-0.044874848478092505
AxisI,I3 - I2,I2,I3,RMSE_event,,2210,-0.036086856817189476
AxisI,I3 - I2,I2,I3,RMSE_event,,2212,-0.04792522768151832
AxisI,I3 - I2,I2,I3,RMSE_event,,2214,-0.017606183046290247
AxisI,I3 - I2,I2,I3,RMSE_event,,2217,0.018456165259782886
AxisI,I3 - I2,I2,I3,SSIM_event_mean,,2203,0.0033637590827104713
AxisI,I3 - I2,I2,I3,SSIM_event_mean,,2205,-0.0009844504987597258
AxisI,I3 - I2,I2,I3,SSIM_event_mean,,2208,-0.002336841709674742
AxisI,I3 - I2,I2,I3,SSIM_event_mean,,2210,-0.0015392832411225132
AxisI,I3 - I2,I2,I3,SSIM_event_mean,,2212,-0.0013778930775990572
AxisI,I3 - I2,I2,I3,SSIM_event_mean,,2214,-0.0015378449280887274
AxisI,I3 - I2,I2,I3,SSIM_event_mean,,2217,-0.0017534065209059424
AxisI,I3 - I2,I2,I3,CSI,5,2203,0.006932512752737541
AxisI,I3 - I2,I2,I3,CSI,5,2205,0.008947133653990358
AxisI,I3 - I2,I2,I3,CSI,5,2214,0.029411764705882353
AxisI,I3 - I2,I2,I3,CSI,5,2217,0.03304154840857554
AxisI,I3 - I2,I2,I3,POD,5,2203,-0.003922364045662818
AxisI,I3 - I2,I2,I3,POD,5,2205,-0.004427411209651733
AxisI,I3 - I2,I2,I3,POD,5,2214,0.03125
