metric,threshold_mmh,family_size,contrast,n_pairs_min_in_family,p_raw,p_holm
ACC,5,6,I3 - I2,4,1.0,1.0
ACC,5,6,I4 - I3,4,1.0,1.0
ACC,5,6,I5 - I4,4,1.0,1.0
ACC,5,6,P1 - P0,4,1.0,1.0
ACC,5,6,P2 - P0,4,1.0,1.0
ACC,5,6,P3 - P0,4,1.0,1.0
ACC,10,6,I3 - I2,4,1.0,1.0
ACC,10,6,I4 - I3,4,1.0,1.0
ACC,10,6,I5 - I4,4,1.0,1.0
ACC,10,6,P1 - P0,4,1.0,1.0
ACC,10,6,P2 - P0,4,1.0,1.0
ACC,10,6,P3 - P0,4,1.0,1.0
ACC,20,6,I3 - I2,4,1.0,1.0
ACC,20,6,I4 - I3,4,1.0,1.0
ACC,20,6,I5 - I4,4,1.0,1.0
ACC,20,6,P1 - P0,4,1.0,1.0
ACC,20,6,P2 - P0,4,1.0,1.0
ACC,20,6,P3 - P0,4,1.0,1.0
ACC,30,6,I3 - I2,4,1.0,1.0
ACC,30,6,I4 - I3,4,1.0,1.0
ACC,30,6,I5 - I4,4,1.0,1.0
ACC,30,6,P1 - P0,4,1.0,1.0
ACC,30,6,P2 - P0,4,1.0,1.0
ACC,30,6,P3 - P0,4,1.0,1.0
BIAS,5,6,I3 - I2,4,0.625,1.0
BIAS,5,6,I4 - I3,4,1.0,1.0
BIAS,5,6,I5 - I4,4,0.625,1.0
BIAS,5,6,P1 - P0,4,0.125,0.75
BIAS,5,6,P2 - P0,4,0.625,1.0
BIAS,5,6,P3 - P0,4,0.625,1.0
BIAS,10,6,I3 - I2,4,1.0,1.0
BIAS,10,6,I4 - I3,4,1.0,1.0
BIAS,10,6,I5 - I4,4,1.0,1.0
BIAS,10,6,P1 - P0,4,0.625,1.0
BIAS,10,6,P2 - P0,4,0.625,1.0
BIAS,10,6,P3 - P0,4,0.625,1.0
CSI,5,6,I3 - I2,4,0.125,0.75
CSI,5,6,I4 - I3,4,0.125,0.75
CSI,5,6,I5 - I4,4,0.625,1.0
CSI,5,6,P1 - P0,4,0.625,1.0
CSI,5,6,P2 - P0,4,0.625,1.0
CSI,5,6,P3 - P0,4,0.125,0.75
CSI,10,6,I3 - I2,4,0.625,1.0
CSI,10,6,I4 - I3,4,1.0,1.0
CSI,10,6,I5 - I4,4,1.0,1.0
CSI,10,6,P1 - P0,4,1.0,1.0
CSI,10,6,P2 - P0,4,0.625,1.0
CSI,10,6,P3 - P0,4,0.625,1.0
FAR,5,6,I3 - I2,4,0.125,0.75
FAR,5,6,I4 - I3,4,1.0,1.0
FAR,5,6,I5 - I4,4,0.625,1.0
FAR,5,6,P1 - P0,4,0.125,0.75
FAR,5,6,P2 - P0,4,0.625,1.0
FAR,5,6,P3 - P0,4,0.125,0.75
HSS,5,6,I3 - I2,4,0.125,0.75
HSS,5,6,I4 - I3,4,0.125,0.75
HSS,5,6,I5 - I4,4,0.625,1.0
HSS,5,6,P1 - P0,4,0.625,1.0
HSS,5,6,P2 - P0,4,0.625,1.0
HSS,5,6,P3 - P0,4,0.125,0.75
HSS,10,6,I3 - I2,4,0.625,1.0
HSS,10,6,I4 - I3,4,1.0,1.0
HSS,10,6,I5 - I4,4,1.0,1.0
HSS,10,6,P1 - P0,4,1.0,1.0
HSS,10,6,P2 - P0,4,0.125,0.75
HSS,10,6,P3 - P0,4,0.125,0.75
MAE_event,,6,I3 - I2,4,0.125,0.5
MAE_event,,6,I4 - I3,4,0.453125,1.0
MAE_event,,6,I5 - I4,4,1.0,1.0
MAE_event,,6,P1 - P0,4,0.015625,0.09375
MAE_event,,6,P2 - P0,4,0.015625,0.09375
MAE_event,,6,P3 - P0,4,1.0,1.0
POD,5,6,I3 - I2,4,1.0,1.0
POD,5,6,I4 - I3,4,1.0,1.0
POD,5,6,I5 - I4,4,1.0,1.0
POD,5,6,P1 - P0,4,0.625,1.0
POD,5,6,P2 - P0,4,0.125,0.75
POD,5,6,P3 - P0,4,0.625,1.0
POD,10,6,I3 - I2,4,1.0,1.0
POD,10,6,I4 - I3,4,1.0,1.0
POD,10,6,I5 - I4,4,1.0,1.0
POD,10,6,P1 - P0,4,0.625,1.0
POD,10,6,P2 - P0,4,0.625,1.0
POD,10,6,P3 - P0,4,0.625,1.0
RMSE_event,,6,I3 - I2,4,0.453125,1.0
RMSE_event,,6,I4 - I3,4,1.0,1.0
RMSE_event,,6,I5 - I4,4,0.453125,1.0
RMSE_event,,6,P1 - P0,4,0.125,0.625
RMSE_event,,6,P2 - P0,4,0.015625,0.09375
RMSE_event,,6,P3 - P0,4,0.453125,1.0
SSIM_event_mean,,6,I3 - I2,4,0.125,0.5
SSIM_event_mean,,6,I4 - I3,4,0.453125,0.90625
SSIM_event_mean,,6,I5 - I4,4,0.125,0.5
SSIM_event_mean,,6,P1 - P0,4,0.015625,0.09375
SSIM_event_mean,,6,P2 - P0,4,0.015625,0.09375
SSIM_event_mean,,6,P3 - P0,4,0.453125,0.90625
